grinned             	    3
pleased             	    7
introduce           	    2
fix                 	    1
throwing            	    2
fire-irons          	    1
saucepans           	    1
plates              	    2
dishes              	    2
already             	    2
blows               	    1
jumping             	    4
agony               	    1
terror              	    1
precious            	    1
unusually           	    1
saucepan            	    1
flew                	    1
carried             	    4
minded              	    1
growl               	    3
faster              	    3
advantage           	    3
takes               	    2
twenty-four         	    2
hours               	    4
axis                	    1
axes                	    1
chop                	    1
glanced             	    1
meant               	    5
hint                	    2
busily              	    4
bother              	    1
abide               	    1
figures             	    1
singing             	    2
lullaby             	    1
shake               	    1
line                	    2
roughly             	    1
boy                 	    3
beat                	    4
sneezes             	    2
annoy               	    1
teases              	    1
wow                 	    6
sang                	    2
verse               	    4
song                	    7
tossing             	    3
howled              	    1
thoroughly          	    2
enjoy               	    1
pleases             	    1
flinging            	    1
threw               	    2
frying-pan          	    1
missed              	    2
caught              	    3
queer-shaped        	    1
creature            	    4
star-fish           	    1
snorting            	    1
steam-engine        	    1
doubling            	    1
straightening       	    1
proper              	    3
twist               	    2
tight               	    1
prevent             	    1
undoing             	    1
kill                	    1
murder              	    1
grunted             	    4
grunt               	    1
expressing          	    1
turn-up             	    1
snout               	    1
also                	    2
extremely           	    2
sobbing             	    3
seriously           	    1
sobbed              	    1
neither             	    2
less                	    4
carry               	    1
relieved            	    1
trot                	    1
dreadfully          	    6
ugly                	    2
handsome            	    1
pigs                	    2
startled            	    2
seeing              	    1
bough               	    1
yards               	    1
good-natured        	    1
teeth               	    1
treated             	    1
respect             	    1
puss                	    1
wider               	    1
depends             	    1
explanation         	    2
denied              	    2
waving              	    5
hatter              	   56
march               	   34
hare                	   31
visit               	    1
mad                 	   15
grant               	    1
growls              	    1
wags                	    1
wag                 	    1
therefore           	    1
growling            	    1
invited             	    2
happening           	    1
by-the-bye          	    1
became              	    2
appear              	    2
hatters             	    1
raving              	    2
branch              	    1
fig                 	    1
appearing           	    1
vanishing           	    1
giddy               	    2
ending              	    1
farther             	    1
chimneys            	    1
shaped              	    2
thatched            	    1
raised              	    2
towards             	    1
instead             	    3
vii                 	    1
tea-party           	    2
front               	    2
tea                 	   13
dormouse            	   40
fast                	    4
asleep              	    8
using               	    2
cushion             	    2
resting             	    2
elbows              	    1
arm-chair           	    1
wine                	    2
civil               	    3
laid                	    2
wants               	    2
cutting             	    1
personal            	    2
severity            	    1
rude                	    2
wide                	    2
raven               	    1
writing-desk        	    1
fun                 	    3
riddles             	    2
breathe             	    3
ravens              	    1
writing-desks       	    1
break               	    2
month               	    2
uneasily            	    2
fourth              	    1
butter              	    3
works               	    1
meekly              	    2
crumbs              	    4
grumbled            	    1
bread-knife         	    1
gloomily            	    1
cup                 	    2
shoulder            	    4
tells               	    2
clock               	    5
year                	    2
readily             	    1
stays               	    1
poured              	    1
riddle              	    1
slightest           	    1
wearily             	    1
waste               	    1
answers             	    1
cautiously          	    3
music               	    3
accounts            	    1
terms               	    1
twinkling           	    4
half-past           	    2
mournfully          	    1
quarrelled          	    1
spoon               	    2
concert             	    2
given               	    1
hearts              	    8
